topic_id,top_keywords
0,robot | planning | manipulation | robots | control | task | robotic | tasks | learning | object
1,visual | image | vision | segmentation | language | models | object | shot | training | images
2,gradient | learning | algorithm | stochastic | optimization | neural | linear | sgd | networks | convex
3,rl | policy | reinforcement | learning | offline | regret | algorithm | agent | algorithms | reward
4,reasoning | llms | knowledge | language | models | llm | large | retrieval | question | model
5,language | models | context | model | attention | llms | training | tuning | large | fine
6,image | diffusion | text | generation | editing | images | models | model | quality | 3d
7,graph | graphs | gnns | node | networks | gnn | neural | learning | nodes | data
8,learning | label | data | domain | training | model | class | labels | classification | distribution
9,driving | autonomous | lidar | 3d | vehicles | perception | vehicle | object | detection | dataset
10,multilingual | languages | language | lingual | translation | entity | word | sentence | cross | extraction
11,3d | pose | object | depth | estimation | view | camera | scene | reconstruction | hand
12,query | database | systems | queries | data | workload | execution | cloud | workloads | performance
13,video | videos | audio | temporal | language | text | visual | grounding | multimodal | long
14,graph | graphs | index | search | query | algorithms | core | algorithm | vertices | subgraph
15,protein | molecular | diffusion | generative | generation | molecules | design | molecule | drug | flow
16,recommendation | user | item | recommender | items | users | personalized | recommendations | systems | sequential
17,code | programs | program | llms | language | reasoning | software | agents | llm | models
18,video | action | temporal | videos | object | recognition | tracking | frames | segmentation | frame
19,challenge | ntire | 2025 | image | teams | super | track | participants | submissions | resolution
20,video | motion | diffusion | generation | videos | temporal | frames | models | frame | quality
21,vision | image | training | images | learning | data | models | neural | networks | deep
22,rendering | 3d | view | reconstruction | scene | gaussian | scenes | neural | light | splatting
23,fairness | fair | welfare | social | agents | groups | decision | group | voting | individuals
24,user | users | vr | reality | visual | virtual | design | interaction | participants | physical
25,body | tactile | fabrication | skin | design | hand | user | haptic | sensing | materials
26,series | forecasting | time | models | ft | temporal | weather | deep | anomaly | training
27,causal | data | treatment | variables | observational | imputation | effect | cate | interventions | discovery
28,attacks | safety | llms | attack | jailbreak | llm | harmful | adversarial | language | malicious
29,ai | research | trust | human | hci | multiverse | intervention | reliance | design | systems
30,games | regret | game | equilibria | sum | player | team | convergence | equilibrium | algorithms
31,trajectory | road | data | spatio | traffic | spatial | urban | trajectories | temporal | prediction
32,federated | clients | fl | privacy | learning | data | client | local | distributed | communication
33,robot | robotic | robots | robotics | every | rt | consolidation | embodiment | collaboration | capacity
34,point | clouds | 3d | cloud | surface | local | signed | normal | shape | points
35,workshop | ir | retrieval | information | swirl | lorne | 2025 | strategic | report | research
36,images | image | restoration | light | hdr | low | resolution | color | ldr | polarization
37,multimodal | language | models | speech | modalities | agents | audio | evaluation | benchmark | social
38,instruction | instructions | llms | following | tuning | data | models | llm | length | language
39,adversarial | attacks | backdoor | attack | robustness | training | defense | model | poisoning | data
40,pde | neural | fluid | pdes | dynamics | physical | solver | equations | solvers | physics
41,3d | shape | mesh | shapes | reconstruction | head | face | geometry | avatars | diffusion
42,series | data | time | apache | iotdb | repairing | event | iot | cleaning | privacy
